flagA,flagB,flagC,flagD,ssimAverage,ssim0,ssim1,ssim2,ssim3,ssim4,ssim5,ssim6,ssim7,ssim8,ssim9,ssim10,ssim11,ssim12,ssim13,ssim14,ssim15,ssim16,ssim17,ssim18,ssim19,ssim20,ssim21,ssim22,ssim23,
2340,3140,2772,4914,0.820926,0.702634,0.840192,0.868589,0.851244,0.747559,0.779325,0.88653,0.758494,0.875764,0.883845,0.803599,0.858411,0.66848,0.78111,0.864677,0.825651,0.875372,0.786156,0.810975,0.872488,0.83704,0.811207,0.912612,0.800267,
2340,15614,2772,4914,0.820918,0.69514,0.830058,0.877968,0.863249,0.79894,0.745745,0.902766,0.741357,0.870687,0.87344,0.787006,0.845848,0.662615,0.782806,0.870234,0.793499,0.887322,0.80728,0.810159,0.866514,0.825484,0.824066,0.926988,0.812869,
2340,8340,2772,4914,0.820904,0.693781,0.834162,0.888363,0.86116,0.803307,0.751381,0.908201,0.720835,0.871464,0.869343,0.787232,0.85178,0.657283,0.790906,0.868746,0.802587,0.889746,0.799167,0.81123,0.87217,0.826269,0.814841,0.924414,0.803322,
2340,2188,2772,4914,0.820888,0.703327,0.840199,0.868474,0.850518,0.747298,0.779479,0.887122,0.758803,0.874673,0.883237,0.804272,0.859101,0.668526,0.780439,0.865042,0.825575,0.876286,0.785974,0.810062,0.87235,0.836057,0.811645,0.912183,0.80067,
2340,2625,2772,4914,0.820851,0.694663,0.834706,0.887462,0.861017,0.805038,0.752217,0.908303,0.7193,0.873285,0.872426,0.786176,0.850623,0.661518,0.791356,0.862056,0.801561,0.887623,0.79915,0.806242,0.876449,0.825691,0.815097,0.923877,0.804591,
2340,6170,2772,4914,0.820849,0.695601,0.834466,0.889152,0.861507,0.802747,0.75049,0.909597,0.723569,0.872234,0.869431,0.786617,0.85161,0.655147,0.788878,0.868399,0.800882,0.890243,0.798897,0.810551,0.870276,0.824868,0.815303,0.926229,0.803681,
2340,4126,2772,4914,0.820847,0.692579,0.833456,0.88875,0.860956,0.804272,0.750461,0.915085,0.719461,0.872029,0.87075,0.786326,0.851937,0.655215,0.791278,0.868201,0.801494,0.891319,0.797711,0.809718,0.872172,0.82647,0.813473,0.925565,0.801642,
2340,4123,2772,4914,0.82082,0.691173,0.83171,0.890628,0.861532,0.806838,0.748342,0.917073,0.720339,0.872387,0.870504,0.785262,0.851212,0.654467,0.790951,0.868037,0.799755,0.89223,0.797908,0.809106,0.871833,0.825184,0.813317,0.927422,0.802461,
2340,2131,2772,4914,0.820813,0.693559,0.832817,0.889899,0.8608,0.805018,0.747057,0.916273,0.720934,0.87286,0.871043,0.785322,0.850063,0.654841,0.790162,0.867322,0.798847,0.891188,0.797872,0.811535,0.872021,0.824463,0.814624,0.926469,0.804529,
2340,12293,2772,4914,0.820805,0.693943,0.843471,0.875764,0.86146,0.779715,0.765795,0.875141,0.750565,0.869684,0.870956,0.796348,0.854612,0.665902,0.779156,0.870394,0.814569,0.882682,0.797773,0.804609,0.872051,0.828023,0.818278,0.923083,0.805339,
