flagA,flagB,flagC,flagD,ssimAverage,ssim0,ssim1,ssim2,ssim3,ssim4,ssim5,ssim6,ssim7,ssim8,ssim9,ssim10,ssim11,ssim12,ssim13,ssim14,ssim15,ssim16,ssim17,ssim18,ssim19,ssim20,ssim21,ssim22,ssim23,
8020,529,2772,4914,0.849598,0.749461,0.866513,0.917919,0.884799,0.839198,0.784496,0.934105,0.756329,0.896826,0.889735,0.820519,0.877168,0.697286,0.82873,0.87892,0.835605,0.908948,0.827613,0.840461,0.89246,0.847807,0.842856,0.940782,0.831814,
757,529,2772,4914,0.849597,0.75017,0.866668,0.917793,0.885888,0.839557,0.781991,0.934543,0.756387,0.897492,0.891285,0.820752,0.876345,0.696147,0.828731,0.87644,0.835129,0.910233,0.828294,0.840494,0.891451,0.847821,0.842909,0.94102,0.832782,
13873,529,2772,4914,0.849595,0.750264,0.866975,0.917326,0.886095,0.839937,0.78277,0.934361,0.756032,0.897427,0.890572,0.820724,0.876084,0.696421,0.829097,0.875869,0.835016,0.910507,0.82842,0.840363,0.890938,0.848316,0.843173,0.941013,0.832586,
762,529,2772,4914,0.849594,0.750772,0.867179,0.917629,0.885885,0.839353,0.782652,0.934077,0.755766,0.897455,0.890234,0.821037,0.876547,0.696251,0.828824,0.876178,0.835689,0.910158,0.82815,0.840707,0.891076,0.847958,0.843222,0.9408,0.83266,
11093,529,2772,4914,0.849594,0.74861,0.866131,0.918032,0.884884,0.839447,0.783604,0.934225,0.756879,0.896743,0.890809,0.820176,0.876921,0.697073,0.828472,0.879553,0.834952,0.909087,0.828008,0.840371,0.892785,0.847578,0.842644,0.940973,0.832295,
8019,529,2772,4914,0.849592,0.749078,0.866362,0.917845,0.885132,0.839827,0.783953,0.934543,0.755768,0.8967,0.889493,0.820179,0.876813,0.697424,0.828805,0.878944,0.834953,0.909396,0.828084,0.840437,0.892322,0.847895,0.842992,0.940957,0.832313,
3027,529,2772,4914,0.849591,0.749075,0.866496,0.918153,0.885105,0.839161,0.783516,0.933971,0.756045,0.896802,0.890263,0.820447,0.877109,0.696963,0.82839,0.879426,0.835387,0.909165,0.827894,0.840607,0.892594,0.847431,0.842729,0.941061,0.832405,
11888,529,2772,4914,0.849591,0.750556,0.866883,0.917585,0.886005,0.839505,0.782544,0.933922,0.756758,0.897543,0.890912,0.820807,0.876392,0.69594,0.828786,0.876385,0.8353,0.910158,0.828341,0.840402,0.890908,0.847786,0.843157,0.941021,0.832589,
16344,529,2772,4914,0.849591,0.748545,0.86587,0.917817,0.885429,0.84029,0.783403,0.935191,0.755613,0.896705,0.889806,0.819765,0.876873,0.69681,0.829038,0.879461,0.835045,0.909887,0.828494,0.839905,0.892104,0.847591,0.842874,0.94109,0.832567,
8957,529,2772,4914,0.849589,0.749864,0.865927,0.917586,0.886001,0.840515,0.781654,0.935173,0.756527,0.897353,0.891383,0.820264,0.8761,0.696128,0.828982,0.876529,0.834419,0.910544,0.828972,0.840111,0.891139,0.847872,0.842938,0.940953,0.833213,
2010,529,2772,4914,0.849589,0.749334,0.866684,0.917939,0.885231,0.839199,0.784107,0.933719,0.755383,0.896589,0.889356,0.820667,0.877497,0.696848,0.828504,0.879503,0.835907,0.909265,0.827919,0.840415,0.892364,0.847464,0.842918,0.940982,0.832345,
2839,529,2772,4914,0.849588,0.749276,0.866678,0.91797,0.884757,0.83888,0.784419,0.933625,0.756691,0.896831,0.890111,0.820681,0.877071,0.697419,0.828405,0.878992,0.835287,0.908701,0.827624,0.840756,0.892689,0.847789,0.842677,0.940953,0.831828,
10878,529,2772,4914,0.849588,0.750342,0.866103,0.91754,0.885779,0.840407,0.782481,0.935063,0.756713,0.897452,0.890773,0.820367,0.876118,0.696466,0.829171,0.87613,0.834404,0.910201,0.828627,0.840304,0.890976,0.848041,0.84308,0.940932,0.832642,
698,529,2772,4914,0.849587,0.750858,0.867454,0.917472,0.885741,0.839079,0.783171,0.933746,0.755894,0.897474,0.89005,0.821204,0.87653,0.696465,0.828882,0.875908,0.835844,0.909991,0.827953,0.840846,0.891095,0.848229,0.843201,0.940669,0.83234,
860,529,2772,4914,0.849586,0.749432,0.867016,0.918,0.884852,0.838359,0.784411,0.933054,0.756395,0.896705,0.889918,0.82101,0.877539,0.696904,0.82813,0.879469,0.836033,0.908745,0.827521,0.84072,0.892753,0.847345,0.842817,0.940955,0.831984,
4948,529,2772,4914,0.849586,0.749702,0.86731,0.918001,0.884738,0.838242,0.784562,0.933237,0.756119,0.896823,0.889714,0.821028,0.877376,0.697114,0.828321,0.878897,0.836192,0.908722,0.827221,0.840949,0.892634,0.847696,0.842882,0.940807,0.831765,
10068,529,2772,4914,0.849584,0.749286,0.866763,0.917868,0.884678,0.838887,0.784568,0.933518,0.756167,0.896634,0.889967,0.820764,0.877437,0.697119,0.828539,0.879243,0.836054,0.908869,0.827538,0.840424,0.892584,0.847844,0.842769,0.940591,0.831913,
11833,529,2772,4914,0.849584,0.750189,0.866405,0.917218,0.885938,0.840366,0.782731,0.934552,0.756744,0.897446,0.890816,0.820435,0.876081,0.696318,0.829164,0.876041,0.834706,0.910415,0.828758,0.840058,0.890847,0.84824,0.843065,0.94083,0.832661,
3931,529,2772,4914,0.849584,0.748857,0.866081,0.917841,0.885185,0.839926,0.783977,0.934287,0.756052,0.896556,0.889668,0.820151,0.877028,0.697215,0.828665,0.879459,0.834927,0.909321,0.82831,0.840146,0.892428,0.847585,0.842877,0.941053,0.832425,
689,529,2772,4914,0.849584,0.750457,0.867442,0.917578,0.885761,0.838882,0.782801,0.933652,0.756207,0.897545,0.890815,0.821181,0.87647,0.696255,0.828688,0.876065,0.835872,0.910062,0.827845,0.840775,0.891381,0.848116,0.843002,0.940788,0.832376,
3706,529,2772,4914,0.849584,0.750754,0.866706,0.917458,0.885923,0.839973,0.782931,0.934489,0.75612,0.897452,0.890063,0.820779,0.876454,0.696287,0.829109,0.875986,0.835186,0.910223,0.828344,0.840362,0.890818,0.848031,0.843229,0.940896,0.832442,
11826,529,2772,4914,0.849582,0.750563,0.86698,0.91738,0.885942,0.839701,0.782879,0.934189,0.756551,0.897499,0.890379,0.82079,0.876167,0.696334,0.828974,0.875982,0.834977,0.910182,0.82827,0.840628,0.890806,0.848168,0.84326,0.940986,0.832388,
1713,529,2772,4914,0.849582,0.75025,0.867117,0.917486,0.886006,0.839402,0.782448,0.934057,0.756185,0.897456,0.890699,0.820927,0.87633,0.696109,0.828806,0.876228,0.835415,0.910361,0.828222,0.840546,0.891183,0.848,0.843139,0.940976,0.832624,
12918,529,2772,4914,0.849582,0.750454,0.866749,0.917635,0.885912,0.839911,0.782523,0.934772,0.75589,0.897432,0.890484,0.820645,0.876094,0.696573,0.829108,0.875878,0.83476,0.910237,0.82832,0.84064,0.890951,0.848193,0.843177,0.941038,0.832591,
13885,529,2772,4914,0.849582,0.749945,0.866043,0.917235,0.886114,0.840869,0.782508,0.935291,0.756278,0.897341,0.890627,0.820193,0.875843,0.696545,0.829394,0.875912,0.834117,0.910678,0.828972,0.839947,0.890824,0.848348,0.843077,0.941043,0.83282,
5972,529,2772,4914,0.849582,0.749717,0.867002,0.917878,0.884731,0.838693,0.78472,0.933481,0.755987,0.896727,0.889477,0.820878,0.877397,0.697221,0.828529,0.878841,0.83608,0.908809,0.827416,0.840681,0.892456,0.847841,0.842914,0.940663,0.831821,
753,529,2772,4914,0.849582,0.750374,0.867174,0.917713,0.88589,0.839104,0.782232,0.933963,0.756089,0.897515,0.891002,0.821007,0.876482,0.696027,0.828642,0.876336,0.835691,0.910183,0.828072,0.840636,0.891367,0.847854,0.843039,0.940902,0.832665,
1815,529,2772,4914,0.849581,0.749513,0.866801,0.917785,0.884709,0.838936,0.784744,0.933353,0.756308,0.896613,0.889676,0.820857,0.877264,0.697406,0.828401,0.879015,0.835547,0.908711,0.827655,0.84064,0.892537,0.847907,0.842812,0.940805,0.831961,
1718,529,2772,4914,0.849581,0.7504,0.866882,0.917537,0.885965,0.839664,0.782441,0.934526,0.756215,0.897422,0.890356,0.82083,0.876284,0.69631,0.828893,0.876193,0.834917,0.910248,0.828232,0.840712,0.891055,0.847988,0.843191,0.941109,0.832574,
13213,529,2772,4914,0.849581,0.748735,0.866167,0.917798,0.885189,0.839677,0.783394,0.934597,0.756229,0.896743,0.890184,0.820079,0.8768,0.696897,0.828625,0.879297,0.834743,0.9094,0.828378,0.840368,0.892393,0.847673,0.842839,0.941097,0.832639,
8146,529,2772,4914,0.849581,0.749316,0.866464,0.917994,0.88516,0.839548,0.783948,0.93454,0.755294,0.896798,0.889366,0.820309,0.877111,0.697111,0.828857,0.878988,0.835509,0.909409,0.827855,0.840439,0.892208,0.847752,0.842893,0.940941,0.832135,
4058,529,2772,4914,0.849579,0.749042,0.866169,0.917963,0.885229,0.839722,0.783965,0.934356,0.755537,0.896642,0.889536,0.820254,0.877315,0.696944,0.828762,0.879471,0.835538,0.909407,0.828047,0.84014,0.892345,0.847482,0.842748,0.941036,0.832246,
9172,529,2772,4914,0.849579,0.749147,0.866725,0.918112,0.884868,0.838637,0.783747,0.933639,0.756184,0.89677,0.890425,0.820701,0.877412,0.696668,0.828283,0.879556,0.835965,0.908992,0.827593,0.84059,0.892697,0.847464,0.842676,0.94086,0.832182,
8093,529,2772,4914,0.849578,0.748867,0.865618,0.917752,0.885176,0.840186,0.783691,0.934937,0.756551,0.896772,0.88992,0.819874,0.876817,0.697056,0.828872,0.879149,0.83453,0.909395,0.828503,0.840039,0.89223,0.847674,0.842768,0.941081,0.832428,
11900,529,2772,4914,0.849578,0.750234,0.8659,0.917482,0.885953,0.840494,0.782484,0.934917,0.756924,0.897394,0.890954,0.820286,0.876222,0.696145,0.82914,0.876374,0.83455,0.910339,0.828793,0.839883,0.890848,0.847841,0.842982,0.941027,0.832718,
13877,529,2772,4914,0.849577,0.749954,0.866409,0.917365,0.886086,0.840389,0.782425,0.934976,0.756264,0.897392,0.890802,0.820368,0.875876,0.696488,0.829229,0.87595,0.83432,0.91055,0.828652,0.840206,0.890965,0.848294,0.843082,0.941117,0.832701,
1726,529,2772,4914,0.849576,0.750415,0.866536,0.917396,0.885961,0.840121,0.782561,0.934775,0.756134,0.897355,0.890144,0.820646,0.876261,0.696397,0.829056,0.87617,0.834743,0.91034,0.828504,0.840449,0.89093,0.848052,0.843207,0.940999,0.832674,
9910,529,2772,4914,0.849575,0.750094,0.866515,0.917475,0.886079,0.840142,0.781998,0.934886,0.756397,0.897376,0.890647,0.820475,0.875994,0.696229,0.828945,0.876369,0.834388,0.910464,0.828605,0.840582,0.89089,0.847964,0.843228,0.941165,0.832898,
3697,529,2772,4914,0.849575,0.750381,0.866796,0.917563,0.885909,0.839672,0.782503,0.934299,0.756441,0.897514,0.890864,0.820801,0.876386,0.696053,0.828897,0.876128,0.835235,0.910243,0.828261,0.840288,0.891112,0.847938,0.843052,0.940989,0.832474,
1721,529,2772,4914,0.849575,0.750282,0.866825,0.917342,0.885981,0.839808,0.782604,0.934242,0.756106,0.897395,0.890473,0.820815,0.876342,0.696227,0.828968,0.876151,0.835297,0.910407,0.828459,0.840308,0.891034,0.848093,0.843126,0.940816,0.832688,
6995,529,2772,4914,0.849573,0.749089,0.866665,0.917971,0.885047,0.839278,0.783884,0.934184,0.755803,0.89677,0.889726,0.820356,0.876798,0.697412,0.828589,0.878917,0.835145,0.909231,0.827823,0.840699,0.89248,0.847768,0.842908,0.941021,0.832193,
13886,529,2772,4914,0.849572,0.750327,0.866326,0.91722,0.88606,0.840687,0.782751,0.935186,0.755946,0.897324,0.889966,0.820349,0.875899,0.696663,0.829398,0.875795,0.834219,0.910536,0.828738,0.840277,0.890628,0.848376,0.843302,0.94106,0.832697,
13211,529,2772,4914,0.849572,0.748736,0.86646,0.917752,0.885355,0.839758,0.783556,0.934625,0.755277,0.896648,0.889637,0.820146,0.876734,0.697078,0.828782,0.879085,0.834922,0.909611,0.828361,0.840434,0.892238,0.847902,0.842953,0.941078,0.832597,
11220,529,2772,4914,0.849572,0.748818,0.866213,0.918147,0.88492,0.839149,0.783533,0.934235,0.756427,0.896848,0.890685,0.820313,0.877188,0.696705,0.828481,0.879573,0.835514,0.909118,0.82775,0.840378,0.892696,0.847439,0.84252,0.940969,0.832101,
5745,529,2772,4914,0.84957,0.750416,0.867038,0.91753,0.886091,0.839729,0.782649,0.934369,0.75564,0.89741,0.890418,0.820851,0.876309,0.696216,0.828993,0.8759,0.835357,0.910421,0.828227,0.840312,0.89102,0.848117,0.843142,0.941005,0.832517,
