flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
2457,529,192,8720,27.7785,24.1492,30.2896,31.3287,30.7555,25.2127,25.5729,30.4217,21.3185,29.5622,29.4775,27.1113,30.0452,22.3822,27.1237,28.9824,28.7144,30.8088,26.2916,26.4499,28.8364,26.585,28.3704,31.6553,25.2379,
4377,529,192,8720,27.7691,24.2035,30.328,31.3092,30.7128,25.1884,25.6196,30.3365,21.3694,29.4881,29.3375,27.1363,30.0132,22.4145,27.1212,28.8674,28.7285,30.7857,26.2867,26.5581,28.7557,26.6112,28.4344,31.5958,25.257,
4376,529,192,8720,27.7666,24.2205,30.3609,31.3259,30.7012,25.1768,25.6373,30.2742,21.3613,29.468,29.3196,27.1462,29.9654,22.4262,27.1343,28.8507,28.788,30.7736,26.2879,26.5692,28.7146,26.6118,28.4455,31.5692,25.2694,
282,529,192,8720,27.7665,24.1867,30.326,31.3128,30.7062,25.207,25.6443,30.3157,21.3121,29.4226,29.3369,27.1336,30.0094,22.4418,27.131,28.8912,28.7623,30.7942,26.2876,26.4949,28.7579,26.6288,28.43,31.5918,25.2711,
4369,529,192,8720,27.7654,24.2212,30.3397,31.3058,30.684,25.1727,25.6163,30.2866,21.3897,29.4531,29.3298,27.1502,29.9889,22.43,27.1127,28.8319,28.7432,30.7794,26.3013,26.5928,28.7259,26.6121,28.4528,31.5678,25.282,
275,529,192,8720,27.7629,24.1857,30.306,31.2902,30.6866,25.2006,25.62,30.3191,21.3389,29.4053,29.3449,27.1354,30.0263,22.445,27.1063,28.8706,28.7147,30.7958,26.3004,26.5191,28.7667,26.6253,28.436,31.5872,25.2833,
283,529,192,8720,27.7628,24.1644,30.2903,31.2907,30.7112,25.2124,25.621,30.3618,21.313,29.433,29.3509,27.1181,30.0491,22.4273,27.1098,28.9045,28.698,30.7954,26.284,26.4752,28.7929,26.6191,28.4141,31.6156,25.2562,
274,529,192,8720,27.7609,24.2036,30.3377,31.3068,30.6768,25.1881,25.6392,30.2649,21.3331,29.3906,29.3257,27.1456,29.985,22.4538,27.1194,28.8526,28.7737,30.7847,26.298,26.5321,28.7258,26.6277,28.4458,31.5598,25.2919,
4497,529,192,8720,27.7606,24.1955,30.3204,31.3091,30.7037,25.1707,25.5787,30.3186,21.353,29.481,29.3598,27.134,29.9897,22.4064,27.105,28.8669,28.7312,30.7828,26.2913,26.5583,28.7203,26.5952,28.4281,31.5888,25.2651,
1792,529,192,8720,27.7596,24.1563,30.2879,31.2116,30.6251,25.0617,25.3546,30.0788,21.6075,29.7063,29.4657,27.0987,30.0935,22.2582,26.922,28.7541,28.4461,30.6754,26.4668,26.7971,29.3908,26.1871,28.4981,31.7064,25.3805,
410,529,192,8720,27.7591,24.1572,30.3047,31.3164,30.7222,25.2055,25.6096,30.3462,21.2671,29.4421,29.3656,27.1143,30.0082,22.4177,27.1237,28.9244,28.7533,30.7955,26.2744,26.4453,28.7524,26.6119,28.3983,31.6116,25.2514,
4504,529,192,8720,27.7591,24.1929,30.3415,31.3295,30.7159,25.1737,25.6023,30.3011,21.3188,29.4898,29.3456,27.1278,29.963,22.4015,27.1263,28.8818,28.779,30.7741,26.2749,26.5251,28.7053,26.5937,28.4168,31.5877,25.2497,
