flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
2340,2988,192,8720,27.927,24.301,30.1759,30.5749,30.6473,24.9481,25.881,30.7533,22.3041,30.0426,30.3792,27.256,30.1432,22.4049,27.2006,28.6764,28.6265,30.8106,26.6362,26.6791,29.3896,26.8837,28.6175,31.7332,25.1841,
2340,3384,192,8720,27.927,24.2314,30.2051,30.5853,30.6718,24.9054,25.8313,30.7029,22.3453,30.0524,30.3883,27.2692,29.9933,22.3663,27.1886,29.1559,28.6928,30.9097,26.6353,26.7634,28.9985,26.9193,28.6077,31.6998,25.1291,
2340,6647,192,8720,27.927,24.145,30.1014,30.5859,30.7233,24.946,25.7401,30.8779,22.2651,30.101,30.4854,27.2443,30.0464,22.3374,27.1721,29.1514,28.5549,30.9173,26.6114,26.7515,29.0509,26.9,28.5621,31.8598,25.1174,
2340,2982,192,8720,27.927,24.298,30.1594,30.5752,30.6485,24.9453,25.8759,30.7712,22.3044,30.0279,30.3813,27.2609,30.1547,22.4109,27.195,28.658,28.6094,30.818,26.631,26.6818,29.3988,26.8924,28.6113,31.7543,25.1843,
2340,4972,192,8720,27.927,24.2899,30.1745,30.5814,30.6393,24.9183,25.8822,30.7251,22.3335,30.0444,30.3701,27.252,30.1598,22.4027,27.1883,28.7482,28.6177,30.8134,26.6323,26.6763,29.3983,26.8717,28.6211,31.7282,25.1788,
2340,3508,192,8720,27.927,24.1973,30.1774,30.5892,30.6961,24.9304,25.7944,30.7484,22.3087,30.0533,30.4038,27.2628,29.9955,22.3559,27.1921,29.1709,28.6552,30.9229,26.6347,26.7678,28.9936,26.9122,28.598,31.7562,25.1303,
2340,10024,192,8720,27.9269,24.3164,30.1967,30.5877,30.619,24.9158,25.9004,30.7262,22.3362,30.0481,30.3695,27.2657,30.1381,22.4033,27.2031,28.7434,28.6614,30.813,26.637,26.6562,29.3484,26.8829,28.6164,31.6817,25.1795,
2340,6579,192,8720,27.9268,24.18,30.1388,30.5878,30.7017,24.9083,25.7724,30.8071,22.3146,30.0986,30.4683,27.2636,30.012,22.3554,27.1783,29.1133,28.6091,30.9125,26.6152,26.7727,29.0147,26.9135,28.5821,31.792,25.1316,
2340,3052,192,8720,27.9268,24.2886,30.165,30.5866,30.6585,24.962,25.8663,30.7582,22.286,30.0503,30.38,27.2474,30.1557,22.3943,27.2013,28.6884,28.6125,30.8097,26.638,26.6664,29.4029,26.868,28.6142,31.7635,25.1797,
2340,8993,192,8720,27.9268,24.3108,30.1715,30.5784,30.6075,24.8906,25.8965,30.731,22.3381,30.0579,30.3997,27.273,30.1589,22.4131,27.1938,28.704,28.6402,30.8012,26.6296,26.6918,29.3788,26.8914,28.6111,31.6813,25.1926,
