flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
2340,8721,480,14453,27.4386,23.837,29.9412,30.7825,30.3492,24.8838,25.1825,29.949,21.4125,29.3785,29.3626,26.8225,29.6768,21.8812,26.6892,28.2979,28.2291,30.3191,26.0306,26.3251,28.6709,26.1034,28.152,31.4916,24.7576,
2340,8721,480,15740,27.4383,23.887,29.9637,30.7935,30.3248,24.8704,25.1921,29.8944,21.4679,29.4117,29.3465,26.8364,29.6975,21.8379,26.6574,28.262,28.2406,30.2762,25.9943,26.4209,28.6957,26.0918,28.1544,31.4751,24.7266,
2340,8721,480,14187,27.4382,23.878,29.8712,30.4874,30.2154,24.4653,25.2634,30.0562,21.6437,29.545,29.6028,26.8198,29.7291,21.8193,26.6398,28.4556,28.2768,30.2607,25.9763,26.4683,28.7266,26.2402,28.1669,31.2013,24.7067,
2340,8721,480,1298,27.4381,23.7672,29.8495,30.6538,30.2689,24.6501,25.165,30.3678,21.6499,29.6491,29.4626,26.7404,29.8353,21.6132,26.6206,28.4727,28.1909,30.3189,25.8078,26.49,28.8751,26.0634,28.0809,31.443,24.4777,
2340,8721,480,1045,27.4376,23.7513,29.8219,30.6685,30.2963,24.6715,25.1604,30.4215,21.6486,29.6975,29.4446,26.7189,29.8516,21.5189,26.6174,28.461,28.1925,30.3039,25.7488,26.5589,28.86,26.0422,28.0568,31.5748,24.4137,
2340,8721,480,12911,27.4373,23.8658,29.8713,30.4979,30.2184,24.5011,25.2574,30.0467,21.6023,29.5091,29.5978,26.8242,29.7039,21.8722,26.6493,28.4523,28.2702,30.2803,26.0075,26.4143,28.7119,26.2383,28.1649,31.1892,24.7488,
2340,8721,480,9135,27.4371,23.8704,29.9816,30.7973,30.3226,24.9033,25.1808,29.8784,21.4288,29.3894,29.4009,26.8348,29.6622,21.8475,26.6703,28.3126,28.2393,30.1881,25.9971,26.3971,28.678,26.1182,28.1133,31.5387,24.7386,
2340,8721,480,14771,27.437,23.862,29.8743,30.5106,30.2218,24.4911,25.2604,30.0673,21.5952,29.4819,29.5619,26.7965,29.7305,21.8689,26.65,28.4614,28.2747,30.2925,26.0114,26.4195,28.758,26.2108,28.1852,31.2167,24.6852,
2340,8721,480,10085,27.4369,23.8672,29.8775,30.5045,30.223,24.5093,25.2591,30.0118,21.5945,29.4854,29.5647,26.8269,29.6959,21.8892,26.6575,28.4407,28.2731,30.2852,26.036,26.4013,28.6974,26.2468,28.1792,31.1882,24.772,
2340,8721,480,545,27.4369,23.9136,29.8993,30.5862,30.1978,24.513,25.2025,30.2317,21.7187,29.702,29.4905,26.8118,29.7975,21.6513,26.5821,28.4401,28.2402,30.197,25.7987,26.6237,28.7774,26.1605,28.0882,31.2978,24.5633,
2340,8721,480,16269,27.4369,23.8621,29.9762,30.774,30.3283,24.8873,25.1811,29.9131,21.4493,29.4169,29.3967,26.8194,29.6876,21.8109,26.6696,28.3268,28.2366,30.1893,25.9748,26.4215,28.6915,26.1142,28.1077,31.548,24.7018,
2340,8721,480,16270,27.4368,23.8592,29.9709,30.7557,30.3193,24.8708,25.1953,29.8899,21.4618,29.4004,29.3999,26.8261,29.6815,21.8323,26.6729,28.3284,28.2441,30.1981,25.9935,26.4128,28.6951,26.1283,28.1194,31.5202,24.7073,
2340,8721,480,4015,27.4364,23.8935,29.9939,30.803,30.3153,24.8934,25.1766,29.8572,21.4474,29.3963,29.366,26.8428,29.6705,21.8335,26.655,28.3084,28.2403,30.1758,25.9879,26.4276,28.6826,26.119,28.1204,31.5338,24.7334,
2340,8721,480,10395,27.436,23.8314,29.8856,30.543,30.2477,24.5748,25.2449,30.0288,21.5221,29.4132,29.534,26.8047,29.6892,21.9324,26.6755,28.4394,28.2594,30.3138,26.0721,26.3325,28.7256,26.2129,28.1897,31.2487,24.7425,
2340,8721,480,8240,27.4359,23.8943,29.8941,30.6451,30.247,24.544,25.1911,30.2693,21.6856,29.6778,29.4113,26.7727,29.8422,21.6198,26.5865,28.4063,28.2285,30.2561,25.809,26.6002,28.8238,26.0873,28.1179,31.3561,24.4953,
2340,8721,480,14744,27.4356,23.8895,29.8923,30.4875,30.19,24.4711,25.2781,29.9983,21.5985,29.4484,29.5547,26.8176,29.7076,21.9434,26.6449,28.4391,28.2835,30.2877,26.0625,26.4086,28.7429,26.2348,28.2044,31.1343,24.7336,
2340,8721,480,11143,27.4353,23.8403,29.9692,30.7881,30.3415,24.9068,25.166,29.9129,21.3874,29.3664,29.388,26.8274,29.651,21.8791,26.6899,28.3177,28.2273,30.2231,26.031,26.3326,28.6521,26.1246,28.1194,31.5415,24.7648,
2340,8721,480,15481,27.4353,23.8605,29.9509,30.7815,30.3313,24.8755,25.1936,29.9145,21.4526,29.404,29.3597,26.8236,29.692,21.8383,26.6662,28.2755,28.2351,30.2827,25.9949,26.388,28.6909,26.0891,28.1433,31.4868,24.7175,
2340,8721,480,10647,27.4352,23.8359,29.8812,30.5488,30.2467,24.5748,25.2419,30.0354,21.5243,29.4249,29.5351,26.7989,29.6958,21.9122,26.671,28.4386,28.2615,30.3091,26.0499,26.3539,28.7251,26.2042,28.1823,31.2601,24.7326,
2340,8721,480,2600,27.4348,23.7709,29.8587,30.6794,30.2623,24.6693,25.138,30.3328,21.6293,29.6475,29.4737,26.7722,29.792,21.6046,26.6197,28.4707,28.1901,30.2337,25.7863,26.4837,28.8094,26.1027,28.0504,31.5295,24.5289,
2340,8721,480,11776,27.4343,23.7636,29.8333,30.6366,30.2652,24.5858,25.1483,30.4428,21.6876,29.7508,29.4568,26.7368,29.8496,21.4849,26.609,28.4978,28.1947,30.2136,25.7097,26.5901,28.8324,26.0902,28.0259,31.5888,24.43,
2340,8721,480,13159,27.4331,23.8632,29.8668,30.4953,30.2177,24.4752,25.2518,30.0512,21.6034,29.511,29.5803,26.8165,29.7078,21.8587,26.6462,28.4555,28.2675,30.2757,26.0024,26.4119,28.7089,26.2365,28.1651,31.1882,24.7375,
2340,8721,480,15515,27.4328,23.8563,29.8732,30.5011,30.2174,24.4932,25.2637,30.054,21.5952,29.4778,29.5631,26.7936,29.725,21.8656,26.6437,28.4541,28.2697,30.2802,26.0091,26.4151,28.7553,26.2099,28.178,31.2158,24.6766,
2340,8721,480,10127,27.4328,23.8651,29.9809,30.789,30.3224,24.9001,25.1764,29.8769,21.4285,29.3883,29.3868,26.8277,29.6632,21.8357,26.666,28.3092,28.2343,30.18,25.992,26.3967,28.6736,26.1153,28.1092,31.5444,24.7248,
2340,8721,480,11381,27.4327,23.8401,29.9393,30.7686,30.3338,24.8793,25.1908,29.9045,21.417,29.3665,29.3644,26.8225,29.6651,21.8858,26.6816,28.2813,28.2329,30.3051,26.0324,26.3322,28.656,26.1061,28.1525,31.4652,24.762,
2340,8721,480,10760,27.4327,23.7529,29.8363,30.6876,30.2747,24.6842,25.1386,30.3674,21.6381,29.6885,29.4647,26.7429,29.8152,21.5201,26.6129,28.4726,28.1893,30.2068,25.7283,26.5522,28.8257,26.0725,28.0165,31.6473,24.4493,
2340,8721,480,13427,27.4327,23.8398,29.9386,30.7596,30.3315,24.8695,25.1944,29.9032,21.4215,29.365,29.373,26.8215,29.6655,21.8889,26.6812,28.2833,28.2322,30.3045,26.0337,26.3303,28.6662,26.1071,28.1539,31.4674,24.7526,
2340,8721,480,8603,27.4327,23.8383,29.8867,30.5424,30.2373,24.5792,25.2506,29.989,21.5202,29.3977,29.5286,26.8051,29.6803,21.9367,26.6732,28.423,28.2648,30.3016,26.0752,26.343,28.7151,26.2127,28.1918,31.2424,24.7486,
2340,8721,480,13893,27.4323,23.8338,29.8769,30.529,30.2437,24.5575,25.239,30.0138,21.5318,29.4356,29.5455,26.8188,29.6721,21.9216,26.6715,28.4317,28.254,30.3045,26.0632,26.3242,28.681,26.2327,28.1728,31.2271,24.7935,
2340,8721,480,11710,27.4321,23.8809,29.879,30.4805,30.1997,24.4588,25.2745,30.0052,21.6362,29.4731,29.5471,26.7999,29.7348,21.8665,26.6282,28.4567,28.2795,30.27,26.0123,26.4506,28.7671,26.2227,28.1947,31.1735,24.6781,
2340,8721,480,275,27.432,23.7548,29.8179,30.6367,30.2611,24.612,25.1631,30.4148,21.6729,29.6997,29.4544,26.7115,29.8571,21.5249,26.6079,28.5056,28.1962,30.3062,25.7388,26.5676,28.8872,26.0387,28.0496,31.4851,24.403,
2340,8721,480,11677,27.4316,23.858,29.8743,30.5105,30.2158,24.5168,25.2637,30.0195,21.5859,29.4584,29.5487,26.7956,29.7176,21.8707,26.644,28.4411,28.2743,30.2751,26.0151,26.4214,28.746,26.2085,28.1798,31.2239,24.6946,
2340,8721,480,14949,27.4316,23.836,29.8712,30.5354,30.2431,24.5586,25.2349,30.0228,21.5346,29.4503,29.5487,26.8165,29.677,21.9023,26.6674,28.4329,28.256,30.2993,26.0421,26.3429,28.682,26.2226,28.1654,31.234,24.7836,
2340,8721,480,769,27.4316,23.9032,29.914,30.6512,30.227,24.5491,25.1694,30.2287,21.6778,29.6815,29.4276,26.7977,29.8004,21.6138,26.5809,28.4255,28.2248,30.1745,25.7855,26.6083,28.768,26.1321,28.0784,31.4106,24.5285,
2340,8721,480,1639,27.4316,23.8909,29.884,30.4707,30.1869,24.4528,25.2679,29.9835,21.6073,29.4802,29.5641,26.8361,29.6866,21.9317,26.6408,28.4367,28.2764,30.28,26.0511,26.4022,28.6903,26.2599,28.1864,31.1062,24.7853,
2340,8721,480,15447,27.4315,23.8329,29.9336,30.77,30.3377,24.8707,25.1858,29.9381,21.4224,29.3854,29.3729,26.8125,29.6769,21.8583,26.672,28.2927,28.2244,30.3031,26.0021,26.3389,28.6752,26.0927,28.1368,31.4938,24.7282,
2340,8721,480,14748,27.4315,23.8879,29.8855,30.4836,30.1882,24.4554,25.2745,30.0043,21.6052,29.4591,29.5505,26.8085,29.714,21.915,26.6367,28.4407,28.2819,30.2752,26.0395,26.4247,28.7435,26.2274,28.1968,31.1459,24.7121,
2340,8721,480,4648,27.4308,23.7738,29.8633,30.6542,30.2533,24.6562,25.1409,30.3329,21.6362,29.646,29.4848,26.769,29.7887,21.6087,26.6186,28.4578,28.1891,30.2275,25.7804,26.4869,28.8059,26.1023,28.0503,31.4902,24.522,
2340,8721,480,4117,27.4307,23.7815,29.8146,30.6471,30.2649,24.5788,25.1668,30.427,21.6795,29.7283,29.436,26.7161,29.8648,21.4937,26.5964,28.4655,28.2061,30.2731,25.7164,26.608,28.8566,26.0423,28.054,31.5326,24.3868,
2340,8721,480,15799,27.4306,23.8648,29.8575,30.4904,30.2102,24.4365,25.2581,30.1082,21.6441,29.541,29.5696,26.7753,29.7672,21.7805,26.6177,28.4772,28.2717,30.2595,25.9347,26.4881,28.7822,26.1907,28.1597,31.2371,24.6134,
2340,8721,480,7579,27.4303,23.8569,29.8779,30.5218,30.211,24.5303,25.2668,29.9927,21.5775,29.4385,29.5279,26.8014,29.7062,21.8825,26.6493,28.4304,28.2766,30.2779,26.0275,26.4141,28.7394,26.2084,28.1844,31.2332,24.6957,
2340,8721,480,13195,27.4303,23.8432,29.967,30.7644,30.3241,24.8934,25.1786,29.8699,21.3976,29.3483,29.4007,26.8254,29.641,21.8873,26.6828,28.309,28.232,30.2077,26.0356,26.3371,28.6536,26.1287,28.1223,31.5189,24.7578,
2340,8721,480,11149,27.4298,23.8436,29.9676,30.7752,30.3261,24.9036,25.1755,29.8699,21.3919,29.3495,29.3869,26.8263,29.6417,21.8854,26.6826,28.3031,28.2324,30.208,26.0344,26.3384,28.6447,26.1255,28.1204,31.5173,24.7664,
