flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
2340,8721,3025,8720,28.311,24.493,30.5319,31.3772,31.1905,26.0029,25.7915,31.5372,22.2135,30.4619,30.4292,27.5548,30.4764,22.5558,27.65,29.1571,28.6948,31.5502,26.9049,27.2242,29.7663,26.9719,28.8877,32.4918,25.548,
2340,8721,12481,8720,28.3109,24.4751,30.519,31.3824,31.1784,26.0154,25.8017,31.5315,22.2151,30.4592,30.456,27.5576,30.4547,22.5694,27.6541,29.1888,28.7012,31.5589,26.9102,27.1999,29.7457,26.9697,28.8725,32.494,25.5517,
2340,8721,10466,8720,28.3109,24.4761,30.5255,31.3701,31.1859,26.0143,25.7997,31.5412,22.2244,30.4615,30.4673,27.5492,30.4586,22.5529,27.6526,29.195,28.6938,31.5543,26.9019,27.202,29.744,26.9733,28.8735,32.5103,25.5344,
2340,8721,8434,8720,28.3108,24.4896,30.5284,31.3894,31.1856,26.0186,25.7948,31.5425,22.2002,30.4553,30.4321,27.5515,30.4794,22.56,27.6521,29.1307,28.6954,31.5498,26.9019,27.2081,29.7956,26.9646,28.8815,32.5023,25.5502,
2340,8721,5057,8720,28.3108,24.4786,30.5269,31.3886,31.1907,26.0155,25.7856,31.5437,22.1999,30.4588,30.4346,27.5549,30.4591,22.557,27.6548,29.1921,28.6982,31.5619,26.9033,27.2181,29.7422,26.9669,28.8787,32.4997,25.5484,
2340,8721,4832,8720,28.3101,24.4898,30.5456,31.3879,31.1739,25.9898,25.805,31.5041,22.2128,30.4386,30.4182,27.5603,30.4238,22.5681,27.6632,29.2192,28.7419,31.567,26.9045,27.2377,29.704,26.983,28.8846,32.4647,25.5545,
2340,8721,6612,8720,28.3101,24.4932,30.5378,31.3751,31.1789,26.0083,25.8043,31.5345,22.2268,30.4517,30.4393,27.5495,30.4521,22.552,27.6633,29.1625,28.7077,31.5462,26.9041,27.2033,29.7612,26.9682,28.8832,32.4954,25.5436,
2340,8721,4337,8720,28.31,24.4898,30.5277,31.3876,31.1839,26.0155,25.7953,31.5415,22.2007,30.4545,30.4312,27.5531,30.4787,22.5609,27.6511,29.1295,28.6943,31.5481,26.9019,27.2074,29.795,26.9645,28.8803,32.4963,25.5513,
2340,8721,6369,8720,28.3099,24.4762,30.5241,31.3671,31.1835,26.0094,25.8002,31.5406,22.2251,30.4612,30.4666,27.5512,30.4574,22.5538,27.6517,29.1939,28.6927,31.5518,26.902,27.2018,29.7426,26.9732,28.8722,32.5036,25.5356,
2340,8721,8932,8720,28.3098,24.4934,30.5426,31.3753,31.172,25.9912,25.8104,31.5159,22.2297,30.4453,30.4373,27.5544,30.4361,22.5592,27.6585,29.193,28.7263,31.5521,26.9034,27.2204,29.732,26.9806,28.8832,32.4782,25.5442,
2340,8721,8646,8720,28.3098,24.4875,30.5243,31.3689,31.1798,26.0155,25.8079,31.5371,22.224,30.4577,30.4587,27.549,30.4759,22.5592,27.6503,29.1303,28.6899,31.5393,26.9047,27.1881,29.7969,26.9662,28.878,32.5028,25.5423,
2340,8721,741,8720,28.3095,24.502,30.5343,31.3709,31.1769,25.998,25.8154,31.5102,22.2271,30.4487,30.44,27.5577,30.4748,22.5654,27.6436,29.1213,28.7044,31.5336,26.9042,27.2121,29.7888,26.9776,28.8845,32.4891,25.5486,
2340,8721,9154,8720,28.3095,24.4786,30.527,31.3889,31.1898,26.0159,25.7847,31.5361,22.1996,30.4571,30.434,27.5521,30.458,22.5553,27.6529,29.1891,28.6987,31.5589,26.902,27.2176,29.7411,26.9658,28.8785,32.501,25.5463,
2340,8721,10454,8720,28.3091,24.4862,30.5176,31.3648,31.1791,26.0128,25.8026,31.5382,22.2247,30.4622,30.4604,27.5491,30.484,22.5598,27.6479,29.1262,28.6803,31.5361,26.9088,27.1857,29.7987,26.9656,28.878,32.5044,25.5453,
2340,8721,4821,8720,28.309,24.4891,30.52,31.3829,31.1835,26.0131,25.79,31.54,22.2011,30.4567,30.43,27.5547,30.4846,22.5625,27.6476,29.1255,28.6852,31.5434,26.9074,27.204,29.7988,26.9627,28.8816,32.4955,25.5563,
2340,8721,6853,8720,28.309,24.475,30.5166,31.3625,31.1828,26.0072,25.7949,31.5395,22.2253,30.464,30.4669,27.5525,30.4619,22.555,27.6487,29.1921,28.6838,31.5475,26.9074,27.1984,29.7436,26.9711,28.8735,32.5043,25.5408,
2340,8721,8948,8720,28.3089,24.4954,30.5401,31.3858,31.1791,26.0017,25.795,31.5338,22.2105,30.447,30.4195,27.5496,30.4519,22.551,27.6586,29.1625,28.7133,31.5479,26.9,27.2195,29.7604,26.9694,28.8851,32.4902,25.5463,
2340,8721,8645,8720,28.3088,24.4864,30.5237,31.3653,31.1782,26.0137,25.8103,31.5368,22.2298,30.4577,30.4614,27.5489,30.4747,22.5581,27.648,29.1299,28.6869,31.5363,26.9047,27.1821,29.7952,26.9661,28.8761,32.5018,25.5394,
2340,8721,10962,8720,28.3087,24.4769,30.5209,31.3846,31.1895,26.0132,25.7795,31.5362,22.2001,30.4611,30.4342,27.5521,30.4651,22.5554,27.6498,29.1885,28.6895,31.5561,26.9061,27.216,29.7416,26.9653,28.8781,32.5009,25.549,
2340,8721,10465,8720,28.3087,24.4748,30.5243,31.3647,31.1822,26.0095,25.8018,31.5373,22.2302,30.4604,30.4694,27.5485,30.4566,22.5514,27.6489,29.1922,28.6908,31.5483,26.9007,27.196,29.7406,26.9726,28.8707,32.5064,25.5308,
2340,8721,4338,8720,28.3087,24.4894,30.5272,31.3899,31.1832,26.0124,25.7909,31.5389,22.1933,30.4521,30.426,27.5514,30.4787,22.5594,27.6503,29.1294,28.6961,31.5483,26.8989,27.2119,29.7941,26.9617,28.8807,32.4927,25.5518,
2340,8721,10453,8720,28.3086,24.4855,30.5178,31.3613,31.178,26.0116,25.8054,31.5388,22.231,30.4624,30.4644,27.5491,30.4835,22.559,27.6461,29.1256,28.6777,31.5333,26.9094,27.1804,29.7971,26.9664,28.8764,32.504,25.5428,
2340,8721,5058,8720,28.3085,24.4785,30.5257,31.3901,31.1885,26.0112,25.7815,31.5363,22.1925,30.4558,30.4285,27.5529,30.4579,22.555,27.6527,29.1905,28.6993,31.5601,26.8994,27.2221,29.7403,26.9639,28.878,32.494,25.5485,
2340,8721,10949,8720,28.3084,24.4743,30.5171,31.3604,31.1819,26.0076,25.7969,31.5371,22.2311,30.4639,30.4711,27.5501,30.4617,22.5531,27.6465,29.1907,28.6821,31.5441,26.9071,27.1932,29.7424,26.9714,28.8724,32.5083,25.5364,
