flagA,flagB,flagC,flagD,ssimAverage,ssim0,ssim1,ssim2,ssim3,ssim4,ssim5,ssim6,ssim7,ssim8,ssim9,ssim10,ssim11,ssim12,ssim13,ssim14,ssim15,ssim16,ssim17,ssim18,ssim19,ssim20,ssim21,ssim22,ssim23,
2340,8721,10088,4914,0.857634,0.751194,0.868002,0.911696,0.892093,0.857056,0.794207,0.942978,0.775286,0.901454,0.902657,0.829133,0.879827,0.710403,0.841009,0.886417,0.838556,0.917923,0.840821,0.844507,0.896976,0.859224,0.851725,0.943988,0.846075,
2340,8721,16011,4914,0.857633,0.751007,0.867321,0.911625,0.892027,0.857464,0.79421,0.9435,0.775651,0.901498,0.903012,0.828991,0.879505,0.71016,0.84102,0.886571,0.838012,0.917913,0.840912,0.84466,0.897062,0.859315,0.851672,0.944,0.846087,
2340,8721,5560,4914,0.857633,0.751401,0.868014,0.911766,0.892099,0.857134,0.794452,0.942866,0.775203,0.901404,0.902586,0.8292,0.879665,0.710258,0.840961,0.886298,0.838643,0.917879,0.840713,0.844623,0.897142,0.85926,0.851696,0.94395,0.845976,
2340,8721,7791,4914,0.857632,0.751047,0.867316,0.911247,0.892099,0.857549,0.793952,0.943688,0.775822,0.901336,0.903031,0.828871,0.87955,0.710519,0.841198,0.886451,0.837805,0.917919,0.841126,0.8443,0.896906,0.859222,0.851791,0.943927,0.846498,
2340,8721,12785,4914,0.857632,0.746684,0.866341,0.912915,0.892148,0.860771,0.792692,0.945727,0.773314,0.903225,0.905199,0.827922,0.879082,0.707006,0.841372,0.887533,0.836277,0.919915,0.840721,0.844748,0.898551,0.859067,0.850695,0.945589,0.845672,
2340,8721,1387,4914,0.857631,0.751062,0.867759,0.911409,0.891989,0.856876,0.794308,0.943137,0.775654,0.901629,0.903052,0.829059,0.879793,0.710589,0.840846,0.886344,0.838277,0.917863,0.840908,0.844334,0.897192,0.859316,0.851667,0.943894,0.846197,
2340,8721,5998,4914,0.857631,0.751284,0.867671,0.91149,0.892147,0.857532,0.793964,0.943389,0.775341,0.901316,0.902758,0.82896,0.879616,0.710533,0.841206,0.886322,0.838111,0.917909,0.841006,0.844382,0.896928,0.859154,0.8518,0.943934,0.846384,
2340,8721,7355,4914,0.857631,0.751301,0.867543,0.91162,0.892048,0.857616,0.794215,0.943326,0.775401,0.901408,0.902822,0.829013,0.879473,0.710335,0.841089,0.886304,0.838076,0.917783,0.840963,0.844554,0.897153,0.85925,0.851708,0.943919,0.846212,
2340,8721,1167,4914,0.857631,0.751039,0.86778,0.91154,0.891903,0.85645,0.794885,0.942838,0.77595,0.901804,0.903191,0.829319,0.879747,0.710268,0.840594,0.88634,0.838571,0.917687,0.840613,0.844521,0.897447,0.859449,0.851495,0.943935,0.845767,
2340,8721,12186,4914,0.857631,0.751453,0.867735,0.911695,0.892142,0.857435,0.794166,0.943182,0.775362,0.901272,0.902586,0.829069,0.879579,0.710197,0.841129,0.886299,0.838308,0.917868,0.840875,0.844691,0.897011,0.859178,0.851824,0.943996,0.846083,
2340,8721,5562,4914,0.85763,0.751399,0.867821,0.911826,0.892128,0.857529,0.794195,0.943146,0.774965,0.901406,0.902622,0.829063,0.879567,0.71024,0.841124,0.886234,0.838355,0.917876,0.840829,0.844612,0.897172,0.859208,0.851719,0.944015,0.846072,
2340,8721,15500,4914,0.85763,0.751042,0.867557,0.911179,0.891903,0.856317,0.794947,0.942922,0.776554,0.901498,0.903209,0.82927,0.879695,0.710295,0.840626,0.886657,0.838529,0.91786,0.840677,0.844468,0.89706,0.859501,0.851603,0.94382,0.845924,
2340,8721,13948,4914,0.857629,0.751236,0.867741,0.911704,0.892141,0.857486,0.794027,0.943346,0.775231,0.901346,0.902645,0.82897,0.879654,0.710433,0.841236,0.886284,0.838289,0.917886,0.84093,0.84447,0.896927,0.859086,0.85179,0.943995,0.846245,
2340,8721,7788,4914,0.857629,0.751146,0.867778,0.911302,0.892079,0.856824,0.794401,0.94306,0.775958,0.901282,0.90283,0.829134,0.879775,0.710512,0.840993,0.886494,0.838449,0.917886,0.840857,0.844398,0.896892,0.859253,0.851739,0.943884,0.846155,
2340,8721,10091,4914,0.857628,0.751122,0.867557,0.911622,0.892098,0.857684,0.793791,0.943571,0.775205,0.901471,0.902834,0.828858,0.879605,0.710454,0.841178,0.886365,0.83794,0.917944,0.841059,0.844411,0.896978,0.859174,0.851771,0.943974,0.84641,
